country_code,year,risk_score,economic_risk_score,political_risk_score,country
BGD,2020,46.3,28.0,61.5,Bangladesh
BHR,2020,41.2,47.9,34.5,Bahrain
BTN,2020,31.6,50.2,13.0,Bhutan
DJI,2020,43.9,26.5,58.3,Djibouti
DZA,2020,47.1,35.0,57.2,Algeria
EGY,2020,43.6,29.1,55.6,Egypt
ERI,2020,69.4,5.6,80.0,Eritrea
ETH,2020,48.2,35.3,59.0,Ethiopia
IND,2020,36.1,32.1,39.5,India
IRN,2020,48.5,9.9,67.8,Iran
IRQ,2020,60.3,36.0,80.6,Iraq
ISR,2020,18.4,24.9,13.0,Israel
JOR,2020,33.3,32.9,33.7,Jordan
KWT,2020,28.9,23.4,33.5,Kuwait
LBN,2020,57.3,47.4,65.5,Lebanon
LBY,2020,62.7,30.5,89.6,Libya
LKA,2020,37.5,35.1,39.4,Sri Lanka
MAR,2020,37.5,33.0,41.3,Morocco
MDV,2020,48.8,60.1,39.4,Maldives
NPL,2020,39.3,25.7,53.0,Nepal
OMN,2020,31.9,38.1,26.8,Oman
PAK,2020,49.3,34.0,62.0,Pakistan
PSE,2020,55.1,50.6,58.0,Palestine
QAT,2020,20.7,32.0,11.3,Qatar
SAU,2020,31.8,27.2,35.6,Saudi Arabia
SDN,2020,68.7,55.5,77.4,Sudan
SOM,2020,84.7,22.6,95.1,Somalia
SSD,2020,79.8,57.1,94.8,South Sudan
SYR,2020,81.4,56.5,89.7,Syria
TUN,2020,36.9,36.3,37.5,Tunisia
TUR,2020,39.2,31.2,47.1,Turkey
YEM,2020,86.8,54.8,92.1,Yemen
AFG,2021,77.2,50.8,86.0,Afghanistan
ARE,2021,13.1,19.3,10.1,UAE
BGD,2021,52.1,40.7,61.5,Bangladesh
BHR,2021,33.5,39.0,28.8,Bahrain
BTN,2021,27.0,42.9,13.7,Bhutan
DJI,2021,52.6,45.4,58.6,Djibouti
DZA,2021,48.5,37.3,57.9,Algeria
EGY,2021,49.9,43.2,55.5,Egypt
ERI,2021,68.7,1.0,80.0,Eritrea
ETH,2021,55.4,46.3,63.0,Ethiopia
IND,2021,39.0,36.5,41.1,India
IRN,2021,53.0,23.5,67.8,Iran
IRQ,2021,57.9,31.6,79.8,Iraq
ISR,2021,20.1,30.2,11.7,Israel
JOR,2021,43.4,51.2,35.5,Jordan
KWT,2021,29.8,26.7,32.3,Kuwait
LBN,2021,60.8,52.6,67.6,Lebanon
LBY,2021,54.5,14.6,87.7,Libya
LKA,2021,44.0,44.5,43.5,Sri Lanka
MAR,2021,41.5,38.9,43.7,Morocco
MDV,2021,34.7,34.3,35.1,Maldives
NPL,2021,44.9,38.4,51.5,Nepal
OMN,2021,34.9,43.3,27.9,Oman
PAK,2021,53.1,42.6,61.8,Pakistan
PSE,2021,58.4,57.4,59.0,Palestine
QAT,2021,21.1,33.5,10.8,Qatar
SAU,2021,30.2,26.3,33.3,Saudi Arabia
SDN,2021,81.3,84.9,78.8,Sudan
SOM,2021,81.2,36.6,96.1,Somalia
SSD,2021,74.9,43.3,96.0,South Sudan
SYR,2021,77.4,34.8,91.5,Syria
TUN,2021,41.7,42.9,40.7,Tunisia
TUR,2021,41.2,34.1,48.2,Turkey
YEM,2021,80.0,7.5,92.1,Yemen
AFG,2022,78.6,51.1,87.8,Afghanistan
ARE,2022,10.6,11.8,10.0,UAE
BGD,2022,51.8,38.0,63.2,Bangladesh
BHR,2022,31.0,33.0,29.3,Bahrain
BTN,2022,28.0,45.4,13.5,Bhutan
DJI,2022,47.0,33.1,58.5,Djibouti
DZA,2022,44.9,30.3,57.1,Algeria
EGY,2022,49.2,42.2,55.1,Egypt
ERI,2022,69.7,0.0,81.4,Eritrea
ETH,2022,55.4,46.9,62.5,Ethiopia
IND,2022,38.3,35.2,40.8,India
IRN,2022,53.8,23.7,68.9,Iran
IRQ,2022,54.6,21.5,82.2,Iraq
ISR,2022,21.6,30.4,14.3,Israel
JOR,2022,42.6,49.6,35.6,Jordan
KWT,2022,26.4,22.1,30.0,Kuwait
LBN,2022,66.9,64.6,68.7,Lebanon
LBY,2022,60.2,26.1,88.5,Libya
LKA,2022,57.9,68.0,49.5,Sri Lanka
MAR,2022,43.9,43.2,44.5,Morocco
MDV,2022,36.9,35.0,38.4,Maldives
NPL,2022,46.0,37.9,52.7,Nepal
OMN,2022,29.3,33.2,26.1,Oman
PAK,2022,56.6,46.5,65.0,Pakistan
PSE,2022,56.4,53.3,58.5,Palestine
QAT,2022,19.0,29.0,10.7,Qatar
SAU,2022,24.1,17.9,29.2,Saudi Arabia
SDN,2022,75.2,64.6,82.2,Sudan
SOM,2022,78.2,32.2,93.6,Somalia
SSD,2022,79.9,60.2,93.0,South Sudan
SYR,2022,90.2,81.7,93.1,Syria
TUN,2022,44.7,44.3,45.0,Tunisia
TUR,2022,51.1,52.7,49.5,Turkey
YEM,2022,79.7,8.5,91.5,Yemen
AFG,2023,68.9,10.0,88.5,Afghanistan
ARE,2023,16.1,26.5,7.4,UAE
BGD,2023,48.3,32.2,61.8,Bangladesh
BHR,2023,28.4,30.7,26.5,Bahrain
BTN,2023,25.3,41.5,11.8,Bhutan
DJI,2023,43.3,25.8,57.8,Djibouti
DZA,2023,40.2,22.4,55.0,Algeria
EGY,2023,45.5,36.5,53.0,Egypt
ERI,2023,69.4,1.1,80.7,Eritrea
ETH,2023,50.6,35.4,63.3,Ethiopia
IND,2023,34.2,27.6,39.7,India
IRN,2023,50.8,11.7,70.3,Iran
IRQ,2023,54.6,22.0,81.7,Iraq
ISR,2023,19.7,24.4,15.7,Israel
JOR,2023,36.8,42.0,31.7,Jordan
KWT,2023,24.6,21.2,27.3,Kuwait
LBN,2023,71.7,75.2,68.8,Lebanon
LBY,2023,51.6,9.1,86.9,Libya
LKA,2023,41.7,35.9,46.4,Sri Lanka
MAR,2023,37.7,30.9,43.4,Morocco
MDV,2023,38.7,39.0,38.4,Maldives
NPL,2023,40.4,27.8,50.9,Nepal
OMN,2023,27.0,31.7,23.1,Oman
PAK,2023,53.6,37.8,66.8,Pakistan
PSE,2023,57.2,50.2,61.8,Palestine
QAT,2023,16.5,25.7,8.9,Qatar
SAU,2023,24.4,24.2,24.7,Saudi Arabia
SDN,2023,88.0,100.0,85.9,Sudan
SOM,2023,81.6,15.2,92.6,Somalia
SSD,2023,71.0,37.2,93.5,South Sudan
TUN,2023,40.7,34.0,46.2,Tunisia
TUR,2023,40.0,31.0,49.0,Turkey
YEM,2023,78.9,3.7,91.4,Yemen
AFG,2024,68.0,9.4,87.5,Afghanistan
ARE,2024,15.1,24.6,7.1,UAE
BGD,2024,51.2,35.5,64.2,Bangladesh
BHR,2024,29.2,34.0,25.3,Bahrain
BTN,2024,22.1,34.7,11.6,Bhutan
DJI,2024,44.1,28.2,57.5,Djibouti
DZA,2024,36.4,17.2,52.4,Algeria
EGY,2024,47.8,42.0,52.6,Egypt
ERI,2024,69.5,0.3,81.0,Eritrea
ETH,2024,52.2,39.4,62.8,Ethiopia
IND,2024,33.3,26.6,38.9,India
IRN,2024,59.3,26.4,70.2,Iran
IRQ,2024,52.3,25.5,74.7,Iraq
ISR,2024,17.0,18.1,16.0,Israel
JOR,2024,30.9,30.4,31.3,Jordan
KWT,2024,22.8,17.6,27.1,Kuwait
LBN,2024,68.5,67.0,69.2,Lebanon
LBY,2024,59.6,9.4,84.7,Libya
LKA,2024,42.3,39.9,43.9,Sri Lanka
MAR,2024,36.7,30.9,41.5,Morocco
MDV,2024,41.3,43.5,39.4,Maldives
NPL,2024,36.9,19.9,51.1,Nepal
OMN,2024,25.1,32.6,18.8,Oman
PAK,2024,52.9,36.3,66.7,Pakistan
PSE,2024,73.8,88.0,64.3,Palestine
QAT,2024,15.5,21.9,10.1,Qatar
SAU,2024,20.3,19.4,21.0,Saudi Arabia
SDN,2024,84.4,70.8,86.6,Sudan
SOM,2024,71.6,5.7,93.6,Somalia
SSD,2024,84.7,62.3,92.2,South Sudan
TUN,2024,41.3,34.8,46.7,Tunisia
TUR,2024,52.1,54.1,50.1,Turkey
ARE,2025,6.7,18.8,2.6,UAE
BGD,2025,58.0,56.4,61.3,Bangladesh
BHR,2025,26.4,31.9,23.6,Bahrain
DJI,2025,30.6,25.6,43.1,Djibouti
DZA,2025,45.5,30.1,53.3,Algeria
EGY,2025,56.9,61.2,53.2,Egypt
ERI,2025,64.5,24.8,97.5,Eritrea
IND,2025,43.8,41.9,47.8,India
IRN,2025,82.5,100.0,76.7,Iran
IRQ,2025,71.3,53.3,77.3,Iraq
ISR,2025,20.1,28.9,12.7,Israel
JOR,2025,31.4,34.6,29.7,Jordan
KWT,2025,27.9,31.9,24.6,Kuwait
LBN,2025,61.3,33.0,70.7,Lebanon
LBY,2025,67.2,25.0,88.4,Libya
MAR,2025,42.0,41.4,42.6,Morocco
MDV,2025,33.6,29.3,39.0,Maldives
NPL,2025,45.8,36.9,68.0,Nepal
OMN,2025,22.8,34.9,16.8,Oman
PAK,2025,53.5,50.9,64.5,Pakistan
PSE,2025,69.2,71.7,67.5,Palestine
QAT,2025,20.2,42.9,5.2,Qatar
SAU,2025,24.0,32.0,17.4,Saudi Arabia
SDN,2025,76.8,63.6,87.7,Sudan
SOM,2025,88.3,64.1,95.0,Somalia
TUN,2025,47.0,44.1,48.0,Tunisia
TUR,2025,70.8,81.6,57.2,Turkey
