country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
DJI,2019,,6.809835858254663,98.9943965306072,14.41196635284941,6.129299449171902,4.2462368578697545,41.82803494552774,60.645601282922826,60.211854355834184,61.18375439995975,71.41859198329495
DZA,2019,,63.94387045543923,63.3953794789038,38.159618550610396,4.601548113074722,6.037890924172638,58.45026582210924,52.34785173612926,55.37054220488613,72.91076155868834,62.460042721986895
EGY,2019,,52.196285515638465,86.58030577650916,14.376116665508052,12.656073853682932,0.0,62.49274346065986,46.80242977479126,50.26241270263711,58.47398583284862,63.429019866114935
ERI,2019,,,,,,4.2462368578697545,56.55533543891429,82.7025838214018,81.56648736461294,96.78147700529934,86.17773016363728
ETH,2019,0.0,56.98390774466993,97.42108990232377,0.0,20.101900223030388,8.77293148083823,61.90683834707844,57.16981296519026,52.98849692547392,62.831690051424424,56.44131872755545
IND,2019,,47.63359854948671,80.03809527968541,22.96835410012495,6.5899900310492265,6.494001635021886,46.357766808935146,29.09434428872736,29.27539471120635,42.05476953206081,50.29687879598059
IRN,2019,,,,54.833479859667335,47.055768708942054,6.349847604004792,63.93978168820951,55.389332653523674,60.728726009198276,79.12647698453969,73.30049541636953
IRQ,2019,,31.1496677504907,73.08873382593445,14.571935488214436,2.1959011792382777,4.19823859417277,89.74468289728927,75.49797418902193,72.58376189212072,73.72785480896641,86.85125381178203
ISR,2019,,39.280622333929664,69.13874702339595,24.46348084061333,3.333005242877623,3.6974768604264705,42.38109870320239,0.0,0.0,0.0,19.832788281699816
JOR,2019,68.6803422673108,48.773834989476896,80.88966934250486,33.27044767759383,3.2702203787064192,4.2462368578697545,38.62126545168621,44.24545213878575,25.180898497558907,33.40833684828301,41.118403506399176
KWT,2019,,0.0,80.25118126020094,31.187198764864497,3.6397068311051313,4.6610228793708925,24.299105224972536,45.38297577960222,26.718019030652084,34.28963561643615,47.81660009744575
LBN,2019,,91.566346872492,54.82984438427169,78.11287703712605,5.78004870510955,4.2462368578697545,66.63444004035021,61.502109697746164,55.49352137448622,53.06750486604346,80.39750736372663
LBY,2019,,30.708068542280177,0.0,100.0,0.0,6.092655800355919,90.61855095377321,87.6027776325193,79.25026580667976,100.0,89.950781331549
LKA,2019,,49.79372187240959,93.22973952299407,43.88801439430232,6.3650412802961185,11.83120835048474,35.3489612038695,44.80450842353884,31.092858361259566,43.652891021087584,48.59344680193873
MAR,2019,,52.64160820553102,87.26562227209736,27.980898718527698,2.7577932473190505,6.108900437468543,41.1402397234034,45.80934934372222,38.22670944477339,37.65314449772154,57.76814616587286
MDV,2019,,100.0,97.0584112761952,7.367144265824088,2.664557226975588,4.2029806993864804,32.89993664233994,42.66997692569158,42.23096598693022,45.61378638084921,59.24404058191758
NPL,2019,0.5479844547185888,56.26014046422665,82.2282450873982,8.727073541549114,8.644332125031035,6.8029389406350464,41.47435230135207,73.13929888092872,41.58140958096182,55.22503727847939,65.63678717501033
OMN,2019,,55.813080450893715,88.82304967165999,48.53088914790699,2.9674374291635495,4.2462368578697545,17.536420086122032,38.75183842754797,20.628600870794873,22.652671506618695,38.982319086372854
PAK,2019,,51.052825328777416,93.990318279122,29.991810994643163,14.250228767877127,21.775386257984476,81.73226659254684,56.392637465355854,53.36886677744482,56.62435614142131,72.6974935226458
PSE,2019,,67.37278772585985,100.0,35.79416109758872,4.185921548702521,,71.77052162007492,63.66834113371333,54.927654860066944,40.63673115385844,53.251500318535896
QAT,2019,,40.30760657337301,86.28630928473332,39.24222192064661,1.6727946789542198,4.2462368578697545,7.85487027003891,20.704398281301746,13.99236696793674,16.357660249968106,17.53031239979059
SAU,2019,,37.70793616104646,33.477786498679166,34.317170810550316,1.0840648558395423,4.2462368578697545,44.60154425709577,39.0334555683383,34.4865218534349,33.83400195785759,37.53319941582699
SDN,2019,,76.66606486275313,,53.896962664970125,59.45651431744024,70.9455781817729,75.21669482269103,81.51492694225077,73.21861419881375,83.78447305371033,87.61097602185698
SOM,2019,,,,28.444297772073746,,,85.63667578897197,100.0,100.0,97.40890485578612,92.48408417490458
SSD,2019,,54.20454920286759,99.48819099601965,,100.0,13.140461693246849,93.93360180635358,99.91623307012469,87.71019035133455,94.27541870167094,100.0
SYR,2019,,,,36.519918042118874,17.426316270516985,4.2462368578697545,96.14188311225085,88.47934533458837,85.84874915969327,86.11787093606628,93.19717594192704
TUN,2019,,62.43293969889503,88.91771680867863,34.83606309873418,9.935013609989763,12.469869454665938,45.526822378200315,39.967679081908344,28.30794833972332,42.41045525699816,45.60231372008106
TUR,2019,3.357031312875504,41.32277900905796,88.34038619776922,36.106345578883165,19.394086439811044,17.500151282528485,62.26291473771038,37.14470140668305,46.43587770138089,38.56747050063368,49.217414783999594
YEM,2019,,,,,,100.0,100.0,95.90793536143212,82.12649354961088,81.68384892350542,95.62192017669302
AFG,2020,,63.96624153430941,74.9952353225375,21.583232233085266,4.9109145842234785,4.518048852649206,98.17707518888726,86.48257723395494,83.5179480833443,78.72837932979748,86.93089161351291
ARE,2020,,,,37.85882869083423,0.2779958623810203,5.627695748263547,7.8027321585988085,9.321032744945967,15.734721685875371,5.837714691023458,8.940346288210412
BGD,2020,,35.115409037907895,87.31920773244639,6.701625019697009,4.964707018543455,6.089411314766291,56.32684121705772,51.876256104960675,57.704119786404185,64.73490603552663,76.79301374599511
BHR,2020,100.0,51.97693730572189,99.07106033812329,30.719522060866872,0.1342649525200589,5.627695748263547,45.92145086988136,27.98738079354614,32.62519103831021,20.23469495693504,45.739365825068525
BTN,2020,99.18647935097698,63.58990745897031,81.33417980202239,41.77216709176125,4.927487338637512,10.50309676962759,0.0,20.139377300816253,6.944618599653621,38.13423395186354,0.0
DJI,2020,,14.727142854836428,97.15286179346246,12.46502485863003,2.6051688497028276,5.627695748263547,42.57044236742665,55.10142825979335,62.5641054639967,62.94406707278477,68.4734595616435
DZA,2020,,55.53367019791946,76.83479381356352,28.38079658948703,2.9888436894179677,11.431465655199679,52.89183787875764,44.35085943904527,54.202362822444215,71.97296507011366,62.702273080058866
